feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=25.00000000
#accounts,int64-totalfee,int64-totalfeeperacc
427,6.27561810,0.01469700
428,6.29030315,0.01469697
429,6.30498820,0.01469695
430,6.31967325,0.01469692
431,6.33435830,0.01469689
432,6.34904335,0.01469686
433,6.36372840,0.01469684
434,6.37841345,0.01469681
435,6.39309850,0.01469678
436,6.40778355,0.01469676
437,6.42246860,0.01469673
438,6.43715365,0.01469670
439,6.45183870,0.01469668
440,6.46652375,0.01469665
441,6.48120880,0.01469662
442,6.49589385,0.01469660
443,6.51057890,0.01469657
444,6.52526395,0.01469655
445,6.53994900,0.01469652
446,6.55463405,0.01469649
447,6.56931910,0.01469647
448,6.58400415,0.01469644
449,6.59868920,0.01469642
450,6.61337425,0.01469639
451,6.62805930,0.01469637
452,6.64274435,0.01469634
453,6.65742940,0.01469632
454,6.67211445,0.01469629
455,6.68679950,0.01469627
456,6.70148455,0.01469624
457,6.71616960,0.01469622
458,6.73085465,0.01469619
459,6.74553970,0.01469617
460,6.76022475,0.01469615
461,6.77490980,0.01469612
462,6.78959485,0.01469610
463,6.80427990,0.01469607
464,6.81896495,0.01469605
465,6.83365000,0.01469603
466,6.84833505,0.01469600
467,6.86302010,0.01469598
468,6.87770515,0.01469596
469,6.89239020,0.01469593
470,6.90707525,0.01469591
471,6.92176030,0.01469589
472,6.93644535,0.01469586
473,6.95113040,0.01469584
474,6.96581545,0.01469582
475,6.98050050,0.01469580
476,6.99518555,0.01469577
477,7.00987060,0.01469575
478,7.02455565,0.01469573
479,7.03924070,0.01469571
480,7.05392575,0.01469568
481,7.06861080,0.01469566
482,7.08329585,0.01469564
483,7.09798090,0.01469562
484,7.11266595,0.01469560
485,7.12735100,0.01469557
486,7.14203605,0.01469555
487,7.15672110,0.01469553
488,7.17140615,0.01469551
489,7.18609120,0.01469549
490,7.20077625,0.01469547
491,7.21546130,0.01469545
492,7.23014635,0.01469542
493,7.24483140,0.01469540
494,7.25951645,0.01469538
495,7.27420150,0.01469536
496,7.28888655,0.01469534
497,7.30357160,0.01469532
498,7.31825665,0.01469530
499,7.33294170,0.01469528
500,7.34762675,0.01469526
501,7.36231180,0.01469524
502,7.37699685,0.01469522
503,7.39168190,0.01469520
504,7.40636695,0.01469518
505,7.42105200,0.01469516
506,7.43573705,0.01469514
507,7.45042210,0.01469512
508,7.46510715,0.01469510
509,7.47979220,0.01469508
510,7.49447725,0.01469506
511,7.50916230,0.01469504
512,7.52384735,0.01469502
513,7.53853240,0.01469500
514,7.55321745,0.01469498
515,7.56790250,0.01469496
516,7.58258755,0.01469494
517,7.59727260,0.01469492
518,7.61195765,0.01469490
519,7.62664270,0.01469488
520,7.64132775,0.01469487
521,7.65601280,0.01469485
522,7.67069785,0.01469483
523,7.68538290,0.01469481
524,7.70006795,0.01469479
525,7.71475300,0.01469477
526,7.72943805,0.01469475
527,7.74412310,0.01469474
528,7.75880815,0.01469472
529,7.77349320,0.01469470
530,7.78817825,0.01469468
531,7.80286330,0.01469466
532,7.81754835,0.01469464
533,7.83223340,0.01469463
534,7.84691845,0.01469461
535,7.86160350,0.01469459
536,7.87628855,0.01469457
537,7.89097360,0.01469456
538,7.90565865,0.01469454
539,7.92034370,0.01469452
540,7.93502875,0.01469450
541,7.94971380,0.01469449
542,7.96439885,0.01469447
543,7.97908390,0.01469445
544,7.99376895,0.01469443
545,8.00845400,0.01469442
546,8.02313905,0.01469440
547,8.03782410,0.01469438
548,8.05250915,0.01469436
549,8.06719420,0.01469435
550,8.08187925,0.01469433
551,8.09656430,0.01469431
552,8.11124935,0.01469430
553,8.12593440,0.01469428
554,8.14061945,0.01469426
555,8.15530450,0.01469425
556,8.16998955,0.01469423
557,8.18467460,0.01469421
558,8.19935965,0.01469420
559,8.21404470,0.01469418
560,8.22872975,0.01469417
561,8.24341480,0.01469415
562,8.25809985,0.01469413
563,8.27278490,0.01469412
564,8.28746995,0.01469410
565,8.30215500,0.01469408
566,8.31684005,0.01469407
567,8.33152510,0.01469405
568,8.34621015,0.01469404
569,8.36089520,0.01469402
570,8.37558025,0.01469401
571,8.39026530,0.01469399
572,8.40495035,0.01469397
573,8.41963540,0.01469396
574,8.43432045,0.01469394
575,8.44900550,0.01469393
576,8.46369055,0.01469391
577,8.47837560,0.01469390
578,8.49306065,0.01469388
579,8.50774570,0.01469387
580,8.52243075,0.01469385
581,8.53711580,0.01469384
582,8.55180085,0.01469382
583,8.56648590,0.01469381
584,8.58117095,0.01469379
585,8.59585600,0.01469378
586,8.61054105,0.01469376
587,8.62522610,0.01469375
588,8.63991115,0.01469373
589,8.65459620,0.01469372
590,8.66928125,0.01469370
591,8.68396630,0.01469369
592,8.69865135,0.01469367
593,8.71333640,0.01469366
594,8.72802145,0.01469364
595,8.74270650,0.01469363
596,8.75739155,0.01469361
597,8.77207660,0.01469360
598,8.78676165,0.01469359
599,8.80144670,0.01469357
600,8.81613175,0.01469356
601,8.83081680,0.01469354
602,8.84550185,0.01469353
603,8.86018690,0.01469352
604,8.87487195,0.01469350
605,8.88955700,0.01469349
606,8.90424205,0.01469347
607,8.91892710,0.01469346
608,8.93361215,0.01469345
609,8.94829720,0.01469343
610,8.96298225,0.01469342
611,8.97766730,0.01469340
612,8.99235235,0.01469339
613,9.00703740,0.01469338
614,9.02172245,0.01469336
615,9.03640750,0.01469335
616,9.05109255,0.01469334
617,9.06577760,0.01469332
618,9.08046265,0.01469331
619,9.09514770,0.01469330
620,9.10983275,0.01469328
621,9.12451780,0.01469327
622,9.13920285,0.01469326
623,9.15388790,0.01469324
624,9.16857295,0.01469323
625,9.18325800,0.01469322
626,9.19794305,0.01469320
627,9.21262810,0.01469319
628,9.22731315,0.01469318
629,9.24199820,0.01469317
630,9.25668325,0.01469315
631,9.27136830,0.01469314
632,9.28605335,0.01469313
633,9.30073840,0.01469311
634,9.31542345,0.01469310
635,9.33010850,0.01469309
636,9.34479355,0.01469308
637,9.35947860,0.01469306
638,9.37416365,0.01469305
639,9.38884870,0.01469304
640,9.40353375,0.01469303
641,9.41821880,0.01469301
642,9.43290385,0.01469300
643,9.44758890,0.01469299
644,9.46227395,0.01469298
645,9.47695900,0.01469296
646,9.49164405,0.01469295
647,9.50632910,0.01469294
648,9.52101415,0.01469293
649,9.53569920,0.01469292
650,9.55038425,0.01469290
651,9.56506930,0.01469289
652,9.57975435,0.01469288
653,9.59443940,0.01469287
654,9.60912445,0.01469286
655,9.62380950,0.01469284
656,9.63849455,0.01469283
657,9.65317960,0.01469282
658,9.66786465,0.01469281
659,9.68254970,0.01469280
660,9.69723475,0.01469278
661,9.71191980,0.01469277
662,9.72660485,0.01469276
663,9.74128990,0.01469275
664,9.75597495,0.01469274
665,9.77066000,0.01469273
666,9.78534505,0.01469272
667,9.80003010,0.01469270
668,9.81471515,0.01469269
669,9.82940020,0.01469268
670,9.84408525,0.01469267
671,9.85877030,0.01469266
672,9.87345535,0.01469265
673,9.88814040,0.01469264
674,9.90282545,0.01469262
675,9.91751050,0.01469261
676,9.93219555,0.01469260
677,9.94688060,0.01469259
678,9.96156565,0.01469258
679,9.97625070,0.01469257
680,9.99093575,0.01469256
681,10.00562080,0.01469255
682,10.02030585,0.01469254
683,10.03499090,0.01469252
684,10.04967595,0.01469251
685,10.06436100,0.01469250
686,10.07904605,0.01469249
687,10.09373110,0.01469248
688,10.10841615,0.01469247
689,10.12310120,0.01469246
690,10.13778625,0.01469245
691,10.15247130,0.01469244
692,10.16715635,0.01469243
693,10.18184140,0.01469242
694,10.19652645,0.01469241
695,10.21121150,0.01469240
696,10.22589655,0.01469239
697,10.24058160,0.01469237
698,10.25526665,0.01469236
699,10.26995170,0.01469235
700,10.28463675,0.01469234
701,10.29932180,0.01469233
702,10.31400685,0.01469232
703,10.32869190,0.01469231
704,10.34337695,0.01469230
705,10.35806200,0.01469229
706,10.37274705,0.01469228
707,10.38743210,0.01469227
708,10.40211715,0.01469226
709,10.41680220,0.01469225
710,10.43148725,0.01469224
711,10.44617230,0.01469223
712,10.46085735,0.01469222
713,10.47554240,0.01469221
714,10.49022745,0.01469220
715,10.50491250,0.01469219
716,10.51959755,0.01469218
717,10.53428260,0.01469217
718,10.54896765,0.01469216
719,10.56365270,0.01469215
720,10.57833775,0.01469214
721,10.59302280,0.01469213
722,10.60770785,0.01469212
723,10.62239290,0.01469211
724,10.63707795,0.01469210
725,10.65176300,0.01469209
726,10.66644805,0.01469208
727,10.68113310,0.01469207
728,10.69581815,0.01469206
729,10.71050320,0.01469205
730,10.72518825,0.01469204
731,10.73987330,0.01469203
732,10.75455835,0.01469202
733,10.76924340,0.01469202
734,10.78392845,0.01469201
735,10.79861350,0.01469200
736,10.81329855,0.01469199
737,10.82798360,0.01469198
738,10.84266865,0.01469197
739,10.85735370,0.01469196
740,10.87203875,0.01469195
741,10.88672380,0.01469194
742,10.90140885,0.01469193
743,10.91609390,0.01469192
744,10.93077895,0.01469191
745,10.94546400,0.01469190
746,10.96014905,0.01469189
