feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=1.00000000
#accounts,int32-totalfee,int32-totalfeeperacc
835,12.18027850,0.01458716
836,12.19485955,0.01458716
837,12.20944060,0.01458715
838,12.22402165,0.01458714
839,12.23860270,0.01458714
840,12.25318375,0.01458713
841,12.26776480,0.01458712
842,12.28234585,0.01458711
843,12.29692690,0.01458711
844,12.31150795,0.01458710
845,12.32608900,0.01458709
846,12.34067005,0.01458709
847,12.35525110,0.01458708
848,12.36983215,0.01458707
849,12.38441320,0.01458706
850,12.39899425,0.01458706
851,12.41357530,0.01458705
852,12.42815635,0.01458704
853,12.44273740,0.01458704
854,12.45731845,0.01458703
855,12.47189950,0.01458702
856,12.48648055,0.01458701
857,12.50106160,0.01458701
858,12.51564265,0.01458700
859,12.53022370,0.01458699
860,12.54480475,0.01458699
861,12.55938580,0.01458698
862,12.57396685,0.01458697
863,12.58854790,0.01458697
864,12.60312895,0.01458696
865,12.61771000,0.01458695
866,12.63229105,0.01458695
867,12.64687210,0.01458694
868,12.66145315,0.01458693
869,12.67603420,0.01458693
870,12.69061525,0.01458692
871,12.70519630,0.01458691
872,12.71977735,0.01458691
873,12.73435840,0.01458690
874,12.74893945,0.01458689
875,12.76352050,0.01458689
876,12.77810155,0.01458688
877,12.79268260,0.01458687
878,12.80726365,0.01458687
879,12.82184470,0.01458686
880,12.83642575,0.01458685
881,12.85100680,0.01458685
882,12.86558785,0.01458684
883,12.88016890,0.01458683
884,12.89474995,0.01458683
885,12.90933100,0.01458682
886,12.92391205,0.01458681
887,12.93849310,0.01458681
888,12.95307415,0.01458680
889,12.96765520,0.01458679
890,12.98223625,0.01458679
891,12.99681730,0.01458678
892,13.01139835,0.01458677
893,13.02597940,0.01458677
894,13.04056045,0.01458676
895,13.05514150,0.01458676
896,13.06972255,0.01458675
897,13.08430360,0.01458674
898,13.09888465,0.01458674
899,13.11346570,0.01458673
900,13.12804675,0.01458672
901,13.14262780,0.01458672
902,13.15720885,0.01458671
903,13.17178990,0.01458670
904,13.18637095,0.01458670
905,13.20095200,0.01458669
906,13.21553305,0.01458669
907,13.23011410,0.01458668
908,13.24469515,0.01458667
909,13.25927620,0.01458667
910,13.27385725,0.01458666
911,13.28843830,0.01458666
912,13.30301935,0.01458665
913,13.31760040,0.01458664
914,13.33218145,0.01458664
915,13.34676250,0.01458663
916,13.36134355,0.01458662
917,13.37592460,0.01458662
918,13.39050565,0.01458661
919,13.40508670,0.01458661
920,13.41966775,0.01458660
921,13.43424880,0.01458659
922,13.44882985,0.01458659
923,13.46341090,0.01458658
924,13.47799195,0.01458658
925,13.49257300,0.01458657
926,13.50715405,0.01458656
927,13.52173510,0.01458656
928,13.53631615,0.01458655
929,13.55089720,0.01458655
930,13.56547825,0.01458654
931,13.58005930,0.01458653
932,13.59464035,0.01458653
933,13.60922140,0.01458652
934,13.62380245,0.01458652
935,13.63838350,0.01458651
936,13.65296455,0.01458651
937,13.66754560,0.01458650
938,13.68212665,0.01458649
939,13.69670770,0.01458649
940,13.71128875,0.01458648
941,13.72586980,0.01458648
942,13.74045085,0.01458647
943,13.75503190,0.01458647
944,13.76961295,0.01458646
945,13.78419400,0.01458645
946,13.79877505,0.01458645
947,13.81335610,0.01458644
948,13.82793715,0.01458644
949,13.84251820,0.01458643
950,13.85709925,0.01458643
951,13.87168030,0.01458642
952,13.88626135,0.01458641
953,13.90084240,0.01458641
954,13.91542345,0.01458640
955,13.93000450,0.01458640
956,13.94458555,0.01458639
957,13.95916660,0.01458639
958,13.97374765,0.01458638
959,13.98832870,0.01458637
960,14.00290975,0.01458637
961,14.01749080,0.01458636
962,14.03207185,0.01458636
963,14.04665290,0.01458635
964,14.06123395,0.01458635
965,14.07581500,0.01458634
966,14.09039605,0.01458634
967,14.10497710,0.01458633
968,14.11955815,0.01458633
969,14.13413920,0.01458632
970,14.14872025,0.01458631
971,14.16330130,0.01458631
972,14.17788235,0.01458630
973,14.19246340,0.01458630
974,14.20704445,0.01458629
975,14.22162550,0.01458629
976,14.23620655,0.01458628
977,14.25078760,0.01458628
978,14.26536865,0.01458627
979,14.27994970,0.01458627
980,14.29453075,0.01458626
981,14.30911180,0.01458626
982,14.32369285,0.01458625
