#accounts,total,perAccount,total-preset,perAccount-preset
426,24904949,58463,6980295,16386
427,24962878,58462,6996644,16386
428,25020771,58460,7012789,16386
429,25078426,58458,7028863,16385
430,25136497,58457,7045199,16385
431,25194188,58456,7061404,16384
432,25252247,58455,7077609,16384
433,25309974,58453,7093731,16383
434,25367795,58452,7109947,16383
435,25425557,58450,7126021,16382
436,25483557,58449,7142274,16382
437,25541403,58448,7158551,16382
438,25599248,58446,7174660,16381
439,25657165,58445,7190926,16381
440,25715058,58444,7207179,16380
441,25772785,58442,7223348,16380
442,25830618,58441,7239530,16380
443,25888345,58439,7255663,16379
444,25946357,58438,7271808,16378
445,26004226,58437,7288097,16378
446,26061917,58435,7304291,16378
447,26119810,58434,7320436,16377
448,26177787,58433,7336737,16377
449,26235680,58432,7352895,16377
450,26293549,58431,7368980,16376
451,26351418,58429,7385209,16376
452,26409109,58428,7401451,16375
453,26467098,58427,7417560,16375
454,26524943,58425,7433765,16374
455,26582789,58424,7449995,16374
456,26640587,58423,7466116,16374
457,26698505,58422,7482382,16373
458,26756338,58420,7498564,16373
459,26814184,58419,7514781,16373
460,26896671,58472,7531034,16372
461,26954003,58469,7547049,16372
462,27011405,58467,7563278,16371
463,27068901,58465,7579555,16371
464,27126279,58462,7595677,16370
465,27183611,58460,7611883,16370
466,27241214,58458,7628016,16370
467,27298379,58455,7644234,16369
468,27355912,58453,7660548,16369
469,27413231,58451,7676645,16369
470,27470728,58449,7692910,16368
471,27528142,58447,7708889,16368
472,27585568,58444,7725250,16368
473,27642935,58442,7741528,16367
474,27700361,58440,7757698,16367
475,27757775,58438,7773736,16366
476,27815083,58436,7790157,16366
477,27872545,58434,7806196,16366
478,27929746,58431,7822461,16365
479,27987314,58429,7838499,16365
480,28044645,58427,7854800,16365
481,28102130,58425,7871103,16365
482,28159473,58423,7887224,16364
483,28216947,58421,7903406,16364
484,28274325,58419,7919480,16363
485,28331823,58417,7935782,16363
486,28389178,58414,7951892,16362
487,28471237,58463,7968182,16362
488,28527648,58459,7984232,16362
489,28584198,58455,8000666,16362
490,28640665,58451,8016680,16361
491,28697343,58447,8032814,16361
492,28753602,58443,8049188,16361
493,28810105,58439,8065334,16360
494,28866573,58435,8081636,16360
495,28923111,58431,8097770,16360
496,28979603,58427,8113809,16359
497,29035990,58423,8130039,16359
498,29092748,58420,8146292,16359
499,29149123,58416,8162510,16358
500,29205731,58412,8178621,16358
501,29285831,58455,8194791,16357
502,29340568,58448,8211081,16357
503,29395203,58440,8227312,16357
504,29449873,58433,8243338,16356
505,29504587,58425,8259592,16356
506,29559211,58418,8275799,16356
507,29613881,58411,8292017,16356
508,29690689,58447,8308223,16355
509,29741714,58432,8324286,16355
510,29792759,58418,8340624,16355
511,29865948,58447,8356842,16354
512,29909782,58418,8373000,16354
