feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=1.00000000
#accounts,systemfee,networkfee,totalfee,sysfeeperacc,netfeeperacc,totalfeeperacc
328,4.77763563,0.01005052,4.78768615,0.01456597,0.00003065,0.01459661
329,4.79218968,0.01007752,4.80226720,0.01456593,0.00003064,0.01459656
330,4.80674373,0.01010452,4.81684825,0.01456590,0.00003062,0.01459651
331,4.82129778,0.01013152,4.83142930,0.01456586,0.00003061,0.01459647
332,4.83585183,0.01015852,4.84601035,0.01456582,0.00003060,0.01459642
333,4.85040588,0.01018552,4.86059140,0.01456579,0.00003059,0.01459638
334,4.86495993,0.01021252,4.87517245,0.01456575,0.00003058,0.01459633
335,4.87951398,0.01023952,4.88975350,0.01456572,0.00003057,0.01459628
336,4.89406803,0.01026652,4.90433455,0.01456568,0.00003056,0.01459624
337,4.90862208,0.01029352,4.91891560,0.01456565,0.00003055,0.01459619
338,4.92317613,0.01032052,4.93349665,0.01456561,0.00003054,0.01459615
339,4.93773018,0.01034752,4.94807770,0.01456558,0.00003053,0.01459610
340,4.95228423,0.01037452,4.96265875,0.01456555,0.00003052,0.01459606
341,4.96683828,0.01040152,4.97723980,0.01456551,0.00003051,0.01459602
342,4.98139233,0.01042852,4.99182085,0.01456548,0.00003050,0.01459597
343,4.99594638,0.01045552,5.00640190,0.01456545,0.00003049,0.01459593
344,5.01050043,0.01048252,5.02098295,0.01456541,0.00003048,0.01459589
345,5.02505448,0.01050952,5.03556400,0.01456538,0.00003047,0.01459584
346,5.03960853,0.01053652,5.05014505,0.01456535,0.00003046,0.01459580
347,5.05416258,0.01056352,5.06472610,0.01456532,0.00003045,0.01459576
348,5.06871663,0.01059052,5.07930715,0.01456528,0.00003044,0.01459572
349,5.08327068,0.01061752,5.09388820,0.01456525,0.00003043,0.01459567
350,5.09782473,0.01064452,5.10846925,0.01456522,0.00003042,0.01459563
351,5.11237878,0.01067152,5.12305030,0.01456519,0.00003041,0.01459559
352,5.12693283,0.01069852,5.13763135,0.01456516,0.00003040,0.01459555
353,5.14148688,0.01072552,5.15221240,0.01456512,0.00003039,0.01459551
354,5.15604093,0.01075252,5.16679345,0.01456509,0.00003038,0.01459547
355,5.17059498,0.01077952,5.18137450,0.01456506,0.00003037,0.01459543
356,5.18514903,0.01080652,5.19595555,0.01456503,0.00003036,0.01459539
357,5.19970308,0.01083352,5.21053660,0.01456500,0.00003035,0.01459535
358,5.21425713,0.01086052,5.22511765,0.01456497,0.00003034,0.01459531
359,5.22881118,0.01088752,5.23969870,0.01456494,0.00003033,0.01459527
